Chi^2 Kaon Lines:
chi^2/NDF kaon = 2.09977
chi^2/NDF kaon = 2.3784
chi^2/NDF kaon = 1.82643
chi^2/NDF kaon = 2.5687
chi^2/NDF kaon = 2.31356
chi^2/NDF kaon = 1.29205
chi^2/NDF kaon = 2.28009
chi^2/NDF kaon = 2.70253
chi^2/NDF kaon = 1.50644
chi^2/NDF kaon = 2.28048
chi^2/NDF kaon = 2.3272
chi^2/NDF kaon = 2.3825
chi^2/NDF kaon = 2.2715
chi^2/NDF kaon = 2.26593
chi^2/NDF kaon = 1.66522
chi^2/NDF kaon = 1.97174
chi^2/NDF kaon = 1.50872
chi^2/NDF kaon = 2.09895
chi^2/NDF kaon = 2.58953
chi^2/NDF kaon = 2.66854
chi^2/NDF kaon = 1.6886
chi^2/NDF kaon = 1.9061
chi^2/NDF kaon = 2.62164
chi^2/NDF kaon = 2.72868
