Chi^2 Kaon Lines:
chi^2/NDF kaon = 3.03672
chi^2/NDF kaon = 77.3752
chi^2/NDF kaon = 4.23636
chi^2/NDF kaon = 51.1495
chi^2/NDF kaon = 5.46273
chi^2/NDF kaon = 4.06705
chi^2/NDF kaon = 3.87706
chi^2/NDF kaon = 35.6374
chi^2/NDF kaon = 3.51662
chi^2/NDF kaon = 8.52469
chi^2/NDF kaon = 120.365
chi^2/NDF kaon = 31.4088
chi^2/NDF kaon = 192.34
chi^2/NDF kaon = 3.93335
chi^2/NDF kaon = 67.8819
chi^2/NDF kaon = 3.76765
chi^2/NDF kaon = 319.296
chi^2/NDF kaon = 521.461
chi^2/NDF kaon = 20.9114
chi^2/NDF kaon = 3.38888
chi^2/NDF kaon = 4.01348
chi^2/NDF kaon = 11.7107
chi^2/NDF kaon = 3.84109
chi^2/NDF kaon = 112.143
chi^2/NDF kaon = 5.65754
chi^2/NDF kaon = 122.794
chi^2/NDF kaon = 74.3006
chi^2/NDF kaon = 2.89573
chi^2/NDF kaon = 4.33726
chi^2/NDF kaon = 5.14859
chi^2/NDF kaon = 198.302
chi^2/NDF kaon = 669.714
chi^2/NDF kaon = 110.609
chi^2/NDF kaon = 3.37467
chi^2/NDF kaon = 385.054
chi^2/NDF kaon = 55.1914
chi^2/NDF kaon = 44.1834
chi^2/NDF kaon = 5.93159
chi^2/NDF kaon = 4.16211
chi^2/NDF kaon = 3.86021
chi^2/NDF kaon = 27.8908
chi^2/NDF kaon = 5.56572
chi^2/NDF kaon = 4.78168
chi^2/NDF kaon = 32.5637
chi^2/NDF kaon = 22.4176
chi^2/NDF kaon = 5.49811
chi^2/NDF kaon = 306.936
chi^2/NDF kaon = 3.00412
chi^2/NDF kaon = 4.76078
chi^2/NDF kaon = 3.30499
chi^2/NDF kaon = 3.37113
chi^2/NDF kaon = 4.96945
chi^2/NDF kaon = 154.138
chi^2/NDF kaon = 31.3948
chi^2/NDF kaon = 98.452
chi^2/NDF kaon = 6.46642
chi^2/NDF kaon = 2.17054
chi^2/NDF kaon = 12.3407
chi^2/NDF kaon = 162.065
chi^2/NDF kaon = 98.0247
chi^2/NDF kaon = 12.7334
chi^2/NDF kaon = 3.9916
chi^2/NDF kaon = 21.2286
chi^2/NDF kaon = 11.0291
chi^2/NDF kaon = 413.198
chi^2/NDF kaon = 71.4826
chi^2/NDF kaon = 185.444
chi^2/NDF kaon = 48.8339
chi^2/NDF kaon = 19.9446
chi^2/NDF kaon = 3.14148
chi^2/NDF kaon = 487.93
chi^2/NDF kaon = 9.45918
chi^2/NDF kaon = 11.294
chi^2/NDF kaon = 4.86828
chi^2/NDF kaon = 27.1124
chi^2/NDF kaon = 64.1681
chi^2/NDF kaon = 115.182
chi^2/NDF kaon = 11.405
chi^2/NDF kaon = 291.287
chi^2/NDF kaon = 3.87425
chi^2/NDF kaon = 9.9512
chi^2/NDF kaon = 3.41934
chi^2/NDF kaon = 4.02696
chi^2/NDF kaon = 3.68304
chi^2/NDF kaon = 65.4009
chi^2/NDF kaon = 3.71591
chi^2/NDF kaon = 3.07842
chi^2/NDF kaon = 5.49514
chi^2/NDF kaon = 3.31486
chi^2/NDF kaon = 6.00053
chi^2/NDF kaon = 9.54553
chi^2/NDF kaon = 3.00742
chi^2/NDF kaon = 3.17929
chi^2/NDF kaon = 17.3966
chi^2/NDF kaon = 4.51383
chi^2/NDF kaon = 63.9827
chi^2/NDF kaon = 101.915
chi^2/NDF kaon = 3.35784
chi^2/NDF kaon = 3.96878
chi^2/NDF kaon = 5.65665
chi^2/NDF kaon = 3.09724
chi^2/NDF kaon = 3.79556
chi^2/NDF kaon = 57.8603
chi^2/NDF kaon = 5.42323
chi^2/NDF kaon = 82.9777
chi^2/NDF kaon = 3.63941
chi^2/NDF kaon = 177.34
